GROUPE,SOUSGROUPE,ALIMENT,CALORIES,PROTEINES,GLUCIDES,LIPIDES,FRUCTOSE,SUCRES,GALACTOSE,GLUCOSE,LACTOSE,MALTOSE,SACCHAROSE,AMIDON
plats composés,entrées et plats composés,Moules marinières (oignons et vin blanc),92.0,10.3,7.43,2.24,0.3,1.05,0.0,0.3,0.0,0.21,0.3,0.0
plats composés,entrées et plats composés,"Moules farcies (matière grasse, persillade…), préemballées, crues",284.0,9.56,4.43,24.8,0.2,0.3,0.0,0.2,0.3,0.2,0.2,0.0
plats composés,entrées et plats composés,"Gratin ou cassolette de poisson et / ou fruits de mer,  préemballé, cru",105.0,6.13,8.39,5.1,0.21,2.48,0.1,0.34,1.64,0.17,0.12,0.0
plats composés,entrées et plats composés,"Gratin ou cassolette de poisson et / ou fruits de mer, préemballé, cuit",117.0,6.69,5.28,7.5,0.38,1.6,0.0,0.28,0.75,0.2,0.19,2.3
plats composés,entrées et plats composés,"Saumon à l'oseille, préemballé",133.0,8.36,7.43,7.65,0.3,0.58,0.0,0.3,0.0,0.3,0.3,0.0
plats composés,entrées et plats composés,"Poisson blanc à la bordelaise, préemballé",176.0,14.8,5.3,10.4,0.35,1.09,0.0,0.26,0.17,0.058,0.25,3.7
plats composés,entrées et plats composés,"Poisson blanc à la provençale ou niçoise (sauce tomate), préemballé",75.2,9.31,3.1,2.3,0.87,2.0,0.0,0.79,0.1,0.082,0.26,0.0
plats composés,entrées et plats composés,"Poisson blanc à la florentine (sauce aux épinards), préemballé",100.0,11.4,2.9,4.35,0.0,1.95,0.0,0.0,0.0,0.0,0.0,0.0
plats composés,entrées et plats composés,"Poisson blanc à la marinière (sauce aux oignons, vin blanc, moules), préemballé",80.0,11.5,2.2,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
plats composés,entrées et plats composés,"Poisson blanc à la sauce moutarde, préemballé",90.8,9.2,5.4,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
plats composés,entrées et plats composés,"Poisson blanc à la parisienne (sauce aux champignons), préemballé",79.9,9.16,3.0,3.25,0.1,0.86,0.0,0.1,0.1,0.1,0.13,0.0
plats composés,entrées et plats composés,"Poisson blanc à l'estragon, préemballé",77.2,8.8,4.2,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
plats composés,entrées et plats composés,"Poisson blanc sauce oseille, préemballé",114.0,11.8,3.9,5.5,0.1,1.65,0.0,0.14,0.7,0.16,0.1,0.0
plats composés,entrées et plats composés,"Saumon farci, préemballé",227.0,18.8,0.4,16.2,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0
plats composés,entrées et plats composés,Brochette de poisson,127.0,18.0,0.86,5.71,0.0,0.85,0.0,0.0,0.0,0.0,0.0,0.012
plats composés,entrées et plats composés,Brochette de crevettes,93.5,18.5,1.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13
plats composés,entrées et plats composés,"Poisson en sauce, surgelé",132.0,13.3,3.18,7.05,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0
plats composés,entrées et plats composés,Paëlla,148.0,7.86,17.1,4.9,0.32,1.2,0.0,0.43,0.2,0.2,0.23,15.1
plats composés,entrées et plats composés,Couscous au poisson,105.0,7.5,14.2,1.6,0.0,1.7,0.0,0.0,0.0,0.0,0.0,12.5
plats composés,entrées et plats composés,"Gratin de poisson et purée ou brandade aux pommes de terre ou parmentier de poisson, préemballé",117.0,6.39,8.57,6.15,0.23,1.62,0.0,0.23,0.73,0.23,0.23,6.4
