Aliment,Energie,Proteines,Glucides,Lipides,Fructose,Sucres,Galactose,Glucose,Lactose,Maltose,Saccharose,Amidon
"Sardine, sauce tomate, appertisée, égouttée",193.0,20.2,1.38,11.6,0.47,0.7,0.0,0.23,0.0,0.2,0.25,0.0
"Thon, au naturel, appertisé, égoutté",111.0,26.8,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Sardine, à l'huile d'olive, appertisée, égouttée",202.0,24.3,1.06,11.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Surimi, bâtonnets, tranche ou râpé saveur crabe",125.0,8.31,11.8,4.92,0.3,2.1,0.0,0.39,0.0,0.3,1.71,9.7
"Oeufs de cabillaud, fumés, semi-conserve",146.0,26.9,0.1,4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Thon germon ou thon blanc, cuit à la vapeur sous pression",165.0,30.0,0.0,5.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Maquereau, filet sauce tomate, appertisé, égoutté",227.0,17.7,1.94,16.3,0.45,0.94,0.0,0.35,0.2,0.2,0.15,1.0
"Maquereau, filet sauce moutarde, appertisé, égoutté",217.0,20.8,1.09,14.2,0.28,0.8,0.0,0.15,0.0,0.28,0.36,0.0
"Maquereau, filet au vin blanc, appertisé, égoutté",207.0,17.8,2.25,14.1,0.3,0.5,0.0,0.3,0.0,0.3,0.3,0.0
"Saumon, appertisé, égoutté",180.0,20.5,1.5,10.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Maquereau, au naturel, appertisé, égoutté",189.0,21.6,0.0,11.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Merlan, pané",190.0,12.6,13.0,9.57,0.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0
"Foie de morue, appertisé, égoutté",433.0,7.25,1.1,44.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Oeufs de truite, semi-conserve",0.0,26.3,0.0,9.5,0.2,0.2,0.0,0.2,0.2,0.2,0.2,0.0
"Anchois au sel (anchoité, semi-conserve)",128.0,25.0,0.0,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Thon germon ou thon blanc, à l'huile d'olive, appertisé, égoutté",192.0,31.3,1.01,6.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Thon à l'huile de tournesol, entier, appertisé, égoutté",206.0,23.3,0.76,12.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Thon albacore ou thon jaune, au naturel, appertisé, égoutté",128.0,26.6,0.58,1.98,0.3,0.094,0.0,0.23,0.0,0.23,0.26,0.0
"Maquereau, mariné",185.0,16.3,0.0,13.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Anchois commun, mariné, préemballé",136.0,23.9,2.7,3.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Sardine, filets sans arêtes à l'huile d'olive, appertisés, égouttés",213.0,21.5,0.62,13.9,0.2,0.0,0.0,0.2,0.2,0.2,0.2,0.0
"Surimi, fourré au fromage",149.0,6.6,9.24,9.3,0.2,2.8,0.0,0.2,0.3,0.2,2.4,0.0
"Thon à la tomate, miettes, appertisées, égouttées",130.0,14.6,4.33,5.93,1.2,3.33,0.0,1.0,0.0,0.3,0.8,0.0
"Thon, à la catalane ou à l'escabèche (sauce tomate), appertisé",142.0,10.8,5.05,8.6,0.0,2.93,0.0,1.1,0.0,0.2,0.35,0.0
"Thon à l'huile de tournesol, miettes, appertisées, égouttées",227.0,23.4,0.0,14.8,0.0,0.25,0.0,0.2,0.0,0.2,0.25,0.0
"Oeufs de saumon, semi-conserve",224.0,30.8,1.5,10.5,0.2,0.2,0.0,0.2,0.2,0.2,0.2,0.0
"Oeuf, blanc (blanc d'oeuf), cuit",47.3,10.3,1.12,0.17,0.07,0.7,0.07,0.34,0.07,0.07,0.07,0.0
"Oeuf, jaune (jaune d'oeuf), cuit",340.0,16.0,1.31,30.1,0.07,0.55,0.07,0.18,0.07,0.07,0.07,0.0
"Oeuf, dur",134.0,13.5,0.52,8.62,0.075,0.52,0.075,0.14,0.075,0.075,0.075,0.0
"Oeuf, poché",138.0,12.5,0.71,9.47,0.0,0.37,0.0,0.37,0.0,0.0,0.0,0.0
"Oeuf, à la coque",142.0,12.2,1.08,9.82,0.11,0.77,0.11,0.21,0.11,0.11,0.11,0.0
"Oeuf, au plat, frit, salé",204.0,14.3,0.74,16.0,0.0,0.4,0.0,0.4,0.0,0.0,0.0,0.0
"Oeuf, brouillé, avec matière grasse",145.0,9.99,1.62,11.0,0.0,1.43,0.0,0.28,0.0,0.0,0.0,0.0
"Oeuf, au plat, sans matière grasse",147.0,13.8,1.01,9.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Oeuf, cru",140.0,12.7,0.27,9.83,0.15,0.27,0.0,0.27,0.0,0.15,0.15,0.0
"Oeuf, blanc (blanc d'oeuf), cru",48.1,10.8,0.85,0.19,0.07,0.71,0.07,0.34,0.07,0.07,0.07,0.0
"Oeuf, jaune (jaune d'oeuf), cru",307.0,15.5,1.09,26.7,0.07,0.56,0.07,0.18,0.07,0.07,0.07,0.0
"Oeuf de caille, cru",154.0,13.1,0.41,11.1,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0
"Oeuf de cane, cru",181.0,13.0,1.31,13.8,0.0,0.93,0.0,0.0,0.0,0.0,0.0,0.0
"Oeuf d'oie, cru",180.0,13.8,1.4,13.3,0.0,0.94,0.0,0.0,0.0,0.0,0.0,0.0
"Oeuf de dinde, cru",166.0,13.7,1.13,11.9,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
"Oeuf, jaune (jaune d'oeuf), en poudre",660.0,34.1,2.77,57.0,0.0,0.07,0.0,0.07,0.0,0.0,0.0,0.0
"Oeuf, blanc (blanc d'oeuf), en poudre",356.0,81.2,7.73,0.0,0.0,5.4,0.0,0.0,0.0,0.0,0.0,0.0
"Oeuf, en poudre",582.0,47.9,3.11,42.0,0.0,0.3,0.0,0.27,0.0,0.0,0.03,0.0
Omelette au fromage,255.0,17.7,2.56,19.3,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0
Omelette aux lardons,267.0,12.5,1.46,23.5,0.0,0.68,0.0,0.0,0.0,0.0,0.0,0.0
Omelette aux champignons,125.0,8.09,2.28,9.2,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0
Omelette aux fines herbes,147.0,9.5,1.98,11.2,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0
"Tortilla espagnole aux oignons (omelette aux pommes de terre et oignons), préemballée",165.0,5.56,11.7,9.9,0.29,1.22,0.1,0.38,0.1,0.1,0.55,10.5
"Protéine de soja texturée, réhydratée",150.0,20.4,7.03,2.9,0.1,3.65,0.1,0.78,0.1,0.1,2.87,0.35
"Tofu nature, préemballé",148.0,14.7,2.87,8.5,0.1,0.57,0.1,0.18,0.1,0.1,0.39,0.35
"Tofu fumé, préemballé",164.0,16.4,2.91,9.5,0.1,0.85,0.1,0.1,0.1,0.3,0.55,0.35
"Bouchées ou émincé végétal au soja et blé (convient aux véganes ou végétaliens), préemballé",157.0,21.3,6.76,3.7,0.1,2.57,0.1,0.1,0.1,0.35,2.22,0.5
"Bouchées ou émincé au soja et blé  (ne convient pas aux véganes ou végétaliens), préemballé",185.0,19.3,8.19,7.0,0.48,2.07,0.1,0.36,0.1,1.04,0.19,3.1
"Seitan, préemballé",134.0,20.6,6.74,2.5,0.12,0.81,0.1,0.17,0.1,0.52,0.1,5.93
"Lait entier, UHT",65.1,3.25,4.85,3.63,0.3,4.2,0.0,0.3,4.2,0.3,0.3,0.0
"Lait entier, pasteurisé",56.5,3.23,3.47,3.3,0.2,0.0,0.0,0.2,3.2,0.2,0.2,0.2
"Lait demi-écrémé, UHT, enrichi en vitamine D seulement",46.6,3.31,4.8,1.52,0.2,4.5,0.2,0.2,4.5,0.2,0.2,0.0
"Lait à 1,2% de matière grasse, UHT, enrichi en plusieurs vitamines",44.1,3.31,4.79,1.25,0.2,4.5,0.3,0.2,4.0,0.2,0.2,0.0
"Lait, teneur en matière grasse inconnue, UHT (aliment moyen)",47.3,3.32,4.82,1.59,0.059,4.62,0.054,0.059,4.62,0.059,0.059,0.0
"Lait demi-écrémé, UHT",47.0,3.31,4.83,1.55,0.1,4.66,0.1,0.1,4.66,0.1,0.1,0.0
"Lait demi-écrémé, pasteurisé",46.4,3.13,4.9,1.54,0.1,4.81,0.1,0.1,4.81,0.1,0.1,0.0
"Lait écrémé, UHT",33.4,3.44,4.64,0.06,0.1,4.64,0.1,0.1,4.64,0.1,0.1,0.0
"Lait écrémé, pasteurisé",34.5,3.21,4.99,0.19,0.0,4.93,0.0,0.0,4.93,0.0,0.0,0.0
Lait demi-écrémé (ou à teneur en matière grasse légèrement inférieure) à teneur réduite en lactose,44.4,3.38,4.69,1.29,0.1,4.66,2.26,2.4,0.2,0.1,0.1,0.0
"Lait de chèvre, entier, UHT",56.1,3.33,4.35,2.83,0.0,4.35,0.0,0.0,4.35,0.0,0.0,0.0
"Lait de chèvre, demi-écrémé, UHT",45.8,3.69,4.13,1.57,0.2,4.13,0.0,0.2,4.13,0.2,0.2,0.0
"Lait de chèvre, entier, cru",57.4,3.15,4.01,3.2,0.2,4.01,0.2,0.2,4.01,0.2,0.2,0.0
"Lait de jument, entier",50.0,2.36,6.18,1.73,0.0,0.0,0.0,0.0,6.17,0.0,0.0,0.0
"Lait de brebis, entier",103.0,5.56,4.5,6.97,0.0,4.5,0.0,0.0,4.5,0.0,0.0,0.0
"Lait en poudre, entier",499.0,26.9,37.5,26.8,0.0,37.5,0.0,0.0,37.5,0.0,0.0,0.0
"Lait concentré non sucré, entier",122.0,6.31,9.91,5.9,0.1,9.47,0.1,0.1,9.47,0.1,0.1,0.0
"Lait concentré sucré, entier",323.0,7.54,55.6,7.87,1.14,55.6,0.0019,0.42,10.5,0.0019,43.5,0.0
"Lait en poudre, demi-écrémé",459.0,30.8,43.4,17.5,0.1,43.4,0.1,0.1,43.4,0.1,0.1,0.0
"Lait en poudre, écrémé",361.0,34.6,54.0,0.7,0.002,53.1,0.002,0.002,53.1,0.002,0.002,0.0
"Boisson lactée, lait fermenté ou yaourt à boire, aromatisé, avec édulcorants, allégé en sucres, 0% MG, au L Casei",0.0,2.84,3.64,0.1,0.0,3.56,0.0,0.0,0.0,0.0,0.0,0.0
"Boisson lactée, lait fermenté ou yaourt à boire, aromatisé, sucré",73.7,2.92,11.6,1.4,0.4,11.3,0.44,1.47,2.7,0.3,6.0,0.35
"Boisson lactée, lait fermenté ou yaourt à boire, aromatisé, sucré, au L Casei",0.0,2.75,12.7,1.52,0.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0
"Boisson lactée, lait fermenté ou yaourt à boire, aromatisé, sucré, enrichi en vitamine D",0.0,3.02,12.6,1.2,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
"Boisson lactée, lait fermenté ou yaourt à boire, aux fruits, sucré",82.8,3.03,13.1,1.69,0.0,12.8,0.0,0.0,2.8,0.0,0.0,0.0
"Boisson lactée, lait fermenté ou yaourt à boire, aux fruits, sucré, enrichie en vitamine D",0.0,2.97,13.9,1.5,0.0,13.5,0.0,0.0,0.0,0.0,0.0,0.0
"Boisson lactée, lait fermenté ou yaourt à boire, nature, sucré, au L Casei",0.0,2.7,12.9,1.6,0.27,12.9,0.36,0.3,2.91,0.002,7.48,0.0
"Lait fermenté ou spécialité laitière type yaourt, aromatisé, sucré, au bifidus",94.4,3.75,11.5,3.1,0.1,11.5,0.54,0.13,3.4,0.1,7.41,0.0
"Lait fermenté ou spécialité laitière type yaourt, aux fruits, avec édulcorants, 0% MG, au bifidus",0.0,4.58,6.71,0.094,0.0,6.37,0.0,0.0,0.0,0.0,0.0,0.0
"Lait fermenté ou spécialité laitière type yaourt, aux fruits, sucré, au bifidus",97.2,3.5,13.0,3.01,1.34,12.9,0.62,0.72,3.8,0.002,5.75,0.0
"Lait fermenté ou spécialité laitière type yaourt, aux fruits, 0% MG, avec édulcorants, aux esters de stérol",0.0,3.8,6.6,0.5,0.0,5.7,0.0,0.0,0.0,0.0,0.0,0.0
"Lait fermenté ou spécialité laitière type yaourt, nature, 0% MG, au bifidus",0.0,4.3,5.75,0.3,0.0,5.75,0.0,0.0,0.0,0.0,0.0,0.0
"Lait fermenté ou spécialité laitière type yaourt, nature, au bifidus",64.5,3.77,3.47,3.6,0.2,3.32,0.28,0.2,3.05,0.2,0.2,0.15
"Lait fermenté ou spécialité laitière type yaourt, sur lit de fruits, sucré, au bifidus",0.0,3.73,13.3,2.72,0.0,12.6,0.0,0.0,0.0,0.0,0.0,0.0
"Yaourt à la grecque, au lait de brebis",69.1,3.76,4.99,3.4,0.2,2.6,0.95,0.2,1.65,0.2,0.2,0.0
"Yaourt à la grecque, sur lit de fruits",0.0,2.27,16.3,6.3,1.8,15.0,0.0,0.0,3.1,0.4,7.6,0.35
"Yaourt au lait de brebis, aromatisé, sucré",93.7,4.94,9.33,3.7,0.2,8.3,0.5,0.2,2.5,0.2,5.3,0.0
"Yaourt au lait de brebis, nature, 3% MG environ",0.0,5.6,4.6,3.0,0.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0
"Yaourt au lait de chèvre, nature, 5% MG environ",73.4,4.06,1.12,5.2,0.1,1.12,0.33,0.1,0.79,0.1,0.1,0.0
"Yaourt, lait fermenté ou spécialité laitière sur lit de fruits, sucré",0.0,2.89,15.2,3.91,1.68,14.6,0.0,1.5,0.0,0.3,4.45,0.0
"Yaourt, lait fermenté ou spécialité laitière, aux céréales, 0% MG",0.0,4.53,8.25,1.08,0.0,6.78,0.0,0.0,0.0,0.0,0.0,1.47
"Yaourt, lait fermenté ou spécialité laitière, aromatisé, avec édulcorants, 0% MG",54.5,4.44,8.29,0.06,0.25,4.23,0.41,0.25,2.9,0.0013,0.41,0.0
"Yaourt, lait fermenté ou spécialité laitière, aromatisé, sucré",89.1,3.35,12.2,2.6,0.2,12.1,0.47,0.2,3.0,0.2,8.4,0.17
"Yaourt, lait fermenté ou spécialité laitière, aromatisé, sucré, à la crème",0.0,3.02,13.4,5.45,0.3,12.4,0.2,0.67,2.7,0.3,8.7,0.35
"Yaourt, lait fermenté ou spécialité laitière, aromatisé, sucré, enrichi en vitamine D",0.0,3.36,13.6,1.79,0.0,12.9,0.0,0.0,0.0,0.0,0.0,0.0
"Yaourt, lait fermenté ou spécialité laitière, aux céréales",0.0,3.57,11.3,3.43,1.18,9.9,0.51,0.8,1.89,0.72,4.79,1.4
"Yaourt, lait fermenté ou spécialité laitière, aux copeaux de chocolat, à la crème, sucré",122.0,3.44,14.1,5.1,0.34,14.0,0.4,0.35,2.91,0.1,9.98,0.093
"Yaourt, lait fermenté ou spécialité laitière, aux fruits, avec édulcorants, 0% MG",38.9,4.13,3.72,0.3,0.17,3.72,0.52,0.21,2.64,0.1,0.18,0.0
"Yaourt, lait fermenté ou spécialité laitière, aux fruits, avec édulcorants, 0% MG, enrichi en vitamine D",0.0,4.45,7.45,0.097,0.3,6.31,0.0,0.0,4.6,0.3,0.3,0.35
"Yaourt, lait fermenté ou spécialité laitière, aux fruits, sucré",95.7,3.54,14.2,2.4,1.11,13.6,0.55,0.88,4.04,0.82,6.15,0.2
"Yaourt, lait fermenté ou spécialité laitière, aux fruits, sucré, à la crème",109.0,2.38,14.5,4.28,1.04,13.7,0.38,0.97,2.92,0.17,8.19,0.5
"Yaourt, lait fermenté ou spécialité laitière, aux fruits, sucré, enrichi en vitamine D",0.0,3.44,14.0,2.35,0.3,12.7,0.0,0.0,3.5,0.3,8.1,0.35
"Yaourt, lait fermenté ou spécialité laitière, nature",45.5,3.88,2.65,1.5,0.1,2.65,0.47,0.064,2.11,0.1,0.1,0.0
"Yaourt, lait fermenté ou spécialité laitière, nature, 0% MG",39.4,4.73,4.1,0.064,0.002,4.1,0.72,0.074,3.27,0.002,0.002,0.0
"Yaourt, lait fermenté ou spécialité laitière, nature, 0% MG, enrichi en vitamine D",0.0,4.5,5.0,0.0,0.0,4.8,0.0,0.0,0.0,0.0,0.0,0.0
"Yaourt, lait fermenté ou spécialité laitière, nature, 0% MG, sucré, enrichi en vitamine D",0.0,4.33,5.4,1.17,0.0,5.13,0.0,0.0,0.0,0.0,0.0,0.0
"Yaourt, lait fermenté ou spécialité laitière, nature, à la crème",115.0,3.0,3.08,9.8,0.2,3.08,0.2,0.2,3.08,0.2,0.2,0.2
"Yaourt, lait fermenté ou spécialité laitière, nature, sucré",84.3,3.41,12.5,1.95,0.27,12.5,0.44,0.13,3.9,0.0019,7.79,0.0
Yaourt ou spécialité laitière nature (aliment moyen),56.8,3.8,4.73,2.3,0.095,4.67,0.45,0.087,2.65,0.044,1.52,0.015
Yaourt ou spécialité laitière nature ou aux fruits (aliment moyen),69.4,3.57,7.47,2.5,0.4,7.24,0.46,0.34,2.89,0.15,3.07,0.092
Yaourt ou spécialité laitière aux fruits (aliment moyen),93.1,3.14,12.8,2.89,0.98,12.2,0.48,0.82,3.36,0.36,6.02,0.24
"Spécialité laitière type encas, riche en protéines, sur lit de fruits, sucrée",98.3,7.31,11.5,2.29,1.2,11.3,0.0,1.7,2.3,0.2,6.1,0.35
"Yaourt, lait fermenté ou spécialité laitière, aromatisé ou aux fruits, 0% MG (aliment moyen)",42.4,4.2,4.92,0.13,0.18,4.01,0.5,0.22,2.83,0.047,0.23,0.015
"Yaourt, lait fermenté ou spécialité laitière, aromatisé ou aux fruits, non allégé en MG (aliment moyen)",93.2,3.17,12.9,2.81,0.53,12.5,0.47,0.57,3.17,0.23,7.57,0.2
"Yaourt, lait fermenté ou spécialité laitière, aromatisé ou aux fruits, avec édulcorants (aliment moyen)",42.4,4.2,4.92,0.13,0.18,4.01,0.5,0.22,2.83,0.047,0.23,0.015
"Yaourt, lait fermenté ou spécialité laitière, aromatisé ou aux fruits, sucré (aliment moyen)",93.3,3.18,13.0,2.83,0.53,12.6,0.47,0.57,3.17,0.23,7.57,0.2
"Yaourt, lait fermenté ou spécialité laitière, aromatisé ou aux fruits, sucré, non allégé en MG (aliment moyen)",93.2,3.18,13.0,2.83,0.53,12.6,0.47,0.57,3.17,0.23,7.57,0.2
"Yaourt, lait fermenté ou spécialité laitière, aromatisé ou aux fruits (aliment moyen)",89.3,3.25,12.4,2.63,0.5,12.0,0.47,0.54,3.15,0.21,6.98,0.19
"Lait fermenté à boire, nature, maigre",33.6,3.44,2.18,0.6,0.1,2.18,0.1,0.1,2.18,0.1,0.1,0.0
"Lait fermenté à boire, nature, au lait entier",55.7,3.31,1.99,3.2,0.1,1.99,0.1,0.1,1.99,0.1,0.1,0.0
"Yaourt à la grecque, nature",0.0,3.25,4.21,9.22,0.0,3.9,0.0,0.0,0.0,0.0,0.0,0.0
"Yaourt à la grecque, aromatisé, sucré",0.0,4.2,12.8,8.2,0.0,12.6,0.0,0.0,0.0,0.0,0.0,0.0
Kéfir de lait,0.0,3.13,4.5,3.5,0.0,3.62,0.04,0.02,3.58,0.0,0.0,0.0
"Yaourt au lait de brebis, nature, 6% MG environ",0.0,5.04,4.56,6.08,0.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0
Fromage blanc nature ou aux fruits (aliment moyen),87.7,6.95,5.68,4.31,0.06,5.0,0.081,0.071,3.16,0.049,0.27,0.033
"Fromage frais type petit suisse, aromatisé chocolat, sucré",0.0,3.87,20.9,5.18,0.0,18.9,0.0,0.0,0.0,0.0,0.0,0.42
Faisselle au coulis de fruits,0.0,3.5,8.5,5.0,0.72,8.5,0.0,0.72,3.44,0.1,3.62,0.0
"Faisselle, 0% MG",0.0,4.38,4.44,0.0,0.0,3.99,0.0,0.0,3.17,0.0,0.0,0.0
"Faisselle, 6% MG environ",84.2,4.38,3.57,5.5,0.2,3.57,0.2,0.2,3.57,0.2,0.2,0.0
"Fromage blanc et crème fouettée sur lit de fruits, sucré",0.0,4.5,16.0,7.0,0.7,15.0,0.0,1.1,2.79,0.3,9.6,0.0
"Fromage blanc nature, 0% MG",49.4,7.78,3.89,0.044,0.0017,3.89,0.13,0.025,3.73,0.0017,0.0017,0.0
"Fromage blanc nature, 0% MG, enrichi en vitamine D",0.0,7.4,5.0,0.1,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
"Fromage blanc nature, 3% MG environ",76.9,7.86,3.46,3.26,0.2,3.46,0.13,0.2,2.8,0.2,0.2,0.0
"Fromage blanc nature, 3% MG environ, au bifidus",0.0,7.04,3.94,3.28,0.0,3.88,0.0,0.0,0.0,0.0,0.0,0.0
"Fromage blanc nature, 3% MG environ, enrichi en vitamine D",0.0,6.9,5.4,3.2,0.0,5.4,0.0,0.0,0.0,0.0,0.0,0.0
"Fromage blanc nature, gourmand, 8% MG environ",116.0,6.07,5.25,7.65,0.0017,3.33,0.0059,0.0017,3.32,0.0017,0.0017,0.2
"Fromage blanc ou spécialité laitière nature et crème fouetté, 10% MG environ",0.0,6.75,3.74,10.2,0.0,3.68,0.0,0.0,0.0,0.0,0.0,0.0
"Fromage blanc ou spécialité laitière, aromatisé, sucré, 0% MG",0.0,6.98,12.5,0.025,0.0,12.2,0.0,0.0,0.0,0.0,0.0,0.0
"Fromage blanc ou spécialité laitière, aromatisé, sucré, 3% MG environ",0.0,6.26,13.1,2.65,0.0,12.4,0.0,0.0,0.0,0.0,0.0,0.0
"Fromage blanc ou spécialité laitière, aromatisé, sucré, 3% MG environ, au bifidus",0.0,5.47,14.0,3.2,0.0,13.8,0.0,0.0,0.0,0.0,0.0,0.0
"Fromage blanc ou spécialité laitière, aux copeaux de chocolat, sucré, 7% MG environ",0.0,5.23,16.2,5.97,0.0,15.5,0.0,0.0,0.0,0.0,0.0,0.0
"Fromage blanc ou spécialité laitière, aux fruits, avec édulcorants, allégé en sucres, 0% MG",0.0,6.11,6.76,0.12,0.0,6.19,0.0,0.0,3.4,0.0,0.0,0.0
"Fromage blanc ou spécialité laitière, aux fruits, sucré, 0% MG",0.0,7.77,13.5,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
"Fromage blanc ou spécialité laitière, aux fruits, sucré, 3% MG environ",0.0,5.13,14.7,3.31,0.0,14.3,0.0,0.0,0.0,0.0,0.0,0.0
"Fromage blanc ou spécialité laitière, aux fruits, sucré, 3% MG environ, au bifidus",0.0,5.25,13.5,2.98,0.0,12.8,0.0,0.0,0.0,0.0,0.0,0.0
"Fromage blanc ou spécialité laitière, aux fruits, sucré, gourmand, 7% MG environ",0.0,5.08,13.4,5.53,1.06,12.5,0.2,0.77,2.27,0.29,7.94,0.0
"Fromage frais type petit suisse, aux fruits, 2-3% MG",92.7,6.56,9.34,2.8,0.9,9.3,0.2,0.8,3.0,0.2,4.6,0.0
"Fromage frais type petit suisse, aux fruits, 2-3% MG, enrichi en calcium et vitamine D",0.0,6.29,12.2,2.63,0.9,10.9,0.0,0.0,2.3,0.3,5.9,0.35
"Fromage frais type petit suisse, nature, 0% MG",0.0,9.69,3.8,0.24,0.0,3.2,0.0,0.0,0.0,0.0,0.0,0.0
"Fromage frais type petit suisse, nature, 4% MG environ",88.8,9.75,2.84,4.0,0.1,2.84,0.079,0.1,2.76,0.1,0.1,0.0
"Mousse de fromage blanc sur lit de fruits, 0% MG, avec édulcorants, enrichie en calcium et vitamine D",0.0,6.35,6.0,0.45,0.0,5.05,0.0,0.0,0.0,0.0,0.0,0.0
"Fromage frais type petit suisse, nature, 10% MG environ",149.0,9.5,3.17,10.4,0.1,3.17,0.1,0.1,3.17,0.1,0.1,0.0
"Fromage frais type petit suisse, aromatisé ou aux fruits, 2-3% MG, enrichi en calcium et vitamine D",90.4,5.63,10.2,2.5,0.7,10.1,0.4,0.6,2.4,0.2,6.0,0.35
"Fromage blanc ou spécialité laitière, aux fruits, avec édulcorants, allégé en sucres, 3% MG environ",0.0,3.1,12.2,2.5,0.0,11.9,0.0,0.0,0.0,0.0,0.0,0.0
"Crème dessert, allégée en MG, rayon frais",79.2,3.56,12.4,1.3,0.78,11.8,0.1,0.18,4.52,0.92,5.36,0.0
"Flan aux oeufs, rayon frais",111.0,4.0,18.5,2.2,0.1,16.0,0.1,0.27,3.19,0.1,12.5,1.1
"Lait emprésuré aromatisé, rayon frais",0.0,5.52,17.6,2.5,0.06,16.5,0.0,0.0,0.0,0.0,10.9,0.0
"Lait gélifié aromatisé, nappé caramel, rayon frais",91.9,2.5,16.7,1.3,0.94,14.5,0.1,2.28,3.2,0.58,7.51,2.21
"Lait gélifié aromatisé, rayon frais",0.0,3.32,19.5,3.53,0.3,17.6,0.0017,0.096,4.34,0.0017,12.9,0.77
"Liégeois ou viennois (chocolat, café, caramel ou vanille), rayon frais",0.0,2.94,18.8,5.78,0.3,15.6,0.021,0.7,3.09,0.3,11.8,1.3
"Lait gélifié aromatisé, allégé en matière grasse et en sucre, rayon frais",0.0,4.08,11.8,1.08,0.0,10.1,0.0,0.0,0.0,0.0,0.0,0.0
"Panna cotta, avec préparations de fruits ou caramel, rayon frais",198.0,2.69,14.9,13.0,0.79,14.7,0.1,1.15,3.32,1.79,7.6,0.0
"Gâteau de semoule aux raisins et caramel, rayon frais",146.0,3.81,24.8,3.4,2.1,19.2,0.1,2.73,2.88,0.12,11.4,4.7
"Gâteau de riz au caramel, rayon frais",143.0,3.19,25.4,3.1,1.11,15.7,0.1,1.61,2.31,0.1,10.7,8.0
"Milk-shake, provenant de fast food",126.0,3.32,17.4,4.66,1.1,13.6,0.0,1.2,4.7,0.0,6.2,0.0
"Crème dessert au chocolat, rayon frais",130.0,3.32,19.9,3.93,0.29,16.5,0.075,0.62,4.52,0.3,11.0,1.8
"Mousse au chocolat (base laitière), rayon frais",150.0,5.31,21.3,4.4,0.1,18.9,0.1,0.13,3.58,0.11,15.1,0.6
"Crème caramel, rayon frais",132.0,4.35,20.6,3.6,1.45,18.0,0.0018,1.64,3.4,0.12,11.4,1.65
"Crème aux oeufs (petit pot de crème chocolat, vanille, etc.), rayon frais",176.0,4.23,19.4,8.88,0.3,16.4,0.002,0.14,3.8,0.3,11.6,0.8
"Riz au lait, rayon frais",126.0,3.27,21.4,3.01,0.94,13.0,0.044,0.64,3.05,0.68,6.86,8.39
"Crème brûlée, rayon frais",272.0,4.37,16.6,20.8,0.42,15.6,0.002,0.42,2.13,0.21,12.2,0.0
"Crème dessert à la vanille, appertisée",132.0,3.63,21.1,3.62,0.0,16.0,0.0,0.0,0.0,0.0,0.0,2.6
"Ile flottante, rayon frais",129.0,4.87,19.8,3.31,0.99,17.9,0.0018,1.21,2.9,0.54,12.3,1.92
"Semoule au lait, rayon frais",121.0,3.39,19.4,3.23,1.25,14.0,0.0018,1.25,2.9,0.47,8.08,5.43
"Mousse aux fruits, rayon frais",53.1,6.13,5.51,0.3,1.04,4.31,0.17,0.25,2.32,0.1,0.53,0.4
"Crème dessert à la vanille, rayon frais",105.0,3.0,14.4,3.6,0.22,14.2,0.1,0.1,4.74,0.1,9.23,0.0
"Crème dessert, rayon frais (aliment moyen)",133.0,3.35,17.9,5.1,0.48,15.7,0.054,0.62,4.19,0.13,10.1,1.5
"Mousse liégeoise (chocolat, café, caramel ou vanille), rayon frais",186.0,3.55,20.0,10.1,0.0,18.3,0.0,0.0,0.0,0.0,0.0,0.0
"Crème dessert au café, rayon frais",116.0,2.87,17.8,3.69,0.3,14.0,0.0,0.23,0.0,0.3,9.1,0.0
"Crème dessert au caramel, rayon frais",117.0,2.86,18.6,3.47,2.84,15.9,0.0,3.38,2.2,0.2,4.44,0.0
